source,username,name,bio,company,location,followers,following,public_repos,profile_url,node_type,relationship_type
GitHub,sebarmeli,Sebastiano Armeli,"Engineering Leader @Meta | Formerly @Pinterest, @Paypal, @Snap, @Spotify | Mentor @mentorcruise & @plato  | Angel investor",Upwork,"Menlo Park, United States",70,5,13,https://github.com/sebarmeli,person,developer
GitHub,loreto,Daniel Loreto,"Founder @jetify-com • Angel Investor • Worked at @Airbnb, @Twitter, @Google • Studied at @MIT",@jetify-com ,"Bay Area, New York",69,0,3,https://github.com/loreto,person,developer
GitHub,PetrovicGS,PetrovicGS,"Crypto Investor: An experienced angel investor in the crypto industry, this individual possesses a keen eye for promising projects, successfully funding several",,CP,62,89,29,https://github.com/PetrovicGS,person,developer
GitHub,tzhenghao,Zheng Hao Tan,"AI Framework Engineer at Modular. Angel Investor. YC alum. Former founder of @celluloseai, Lexer (YC S22), ex Cruise, DriveAI, Hologram.",@modularml,"San Francisco, CA",60,54,93,https://github.com/tzhenghao,person,developer
GitHub,lotusleafxyz,lotus,"founder, artist, angel investor",Openness,,57,213,4,https://github.com/lotusleafxyz,person,developer
GitHub,canaksoy,Can Aksoy,"👨🏻‍💻 multi-CTO, app & game dev, serial entrepreneur, angel investor",,"Istanbul, Turkey",55,48,23,https://github.com/canaksoy,person,developer
GitHub,edmar,Edmar Ferreira,Angel Investor,Rock Content ,,54,12,9,https://github.com/edmar,person,developer
GitHub,benorama,Benoit Hediard,GenAI Enthusiast | Ex-CTO & Co-Founder @Agorapulse | Angel Investor,,Nantes - FRANCE,51,10,37,https://github.com/benorama,person,developer
GitHub,em-winterschon,Eva Winterschön,"Principal Architect & Engineer [L7]
Specializing in baremetal hardware and storage for Ai/ML, CDN, HCI, HPC, HA-ZFS. Angel investor and FOSS Sponsor.","RFC1918, Yukon Systems","Sunnyvale, CA",51,51,148,https://github.com/em-winterschon,person,developer
GitHub,RiccardoGrin,Riccardo Grinover,Product at Leonardo AI | Prev. Co-Founder of Standard Retail & Replica Studios | Startup Advisor | Angel Investor | All about AI,,"Brisbane, Australia",50,6,15,https://github.com/RiccardoGrin,person,developer
GitHub,mouredev,Brais Moure,"📚 Te enseño programación desde cero
💻 Software engineer | Freelance fullstack
⭐️ GitHub Star | Microsoft MVP
❤️ YouTube, Twitch, Discord & Elgato partner",MoureDev by Brais Moure,Building software with  ♥ from Galicia (Spain) to the world.,34050,2,52,https://github.com/mouredev,person,developer
GitHub,antoniolg,Antonio Leiva,AI for Developers @devexpert-io . Google Developer Expert & JetBrains Training Partner,AI Trainer @devexpert-io,Madrid (Spain),5459,10,61,https://github.com/antoniolg,person,developer
GitHub,gakonst,Georgios Konstantopoulos,"cto & general partner at @paradigmxyz. mev, layer 2, proof of stake, zkps. we're hiring engineers internally & for the portfolio: georgios at paradigm dot xyz",@paradigmxyz,"Thessaloniki, Greece",4974,732,237,https://github.com/gakonst,person,developer
GitHub,robbyrussell,Robby Russell,CEO/Partner @planetargon. Old-timer Ruby on Rails developer. Creator of @ohmyzsh. Host of Maintainable Software Podcast,@planetargon ,"Portland, Oregon USA",4968,110,52,https://github.com/robbyrussell,person,developer
GitHub,stephentoub,Stephen Toub,Partner Software Engineer at Microsoft,Microsoft,"Boston, MA",4418,0,98,https://github.com/stephentoub,person,developer
GitHub,gndx,Oscar Barajas Tavares,Learning Engineer at @platzi - Microsoft MVP - #JavaScript #React #Web3 #WithAstro #Twitch Partner - 🇲🇽 🇨🇴,Learning Engineer at @platzi ,Colombia,3194,100,160,https://github.com/gndx,person,developer
GitHub,Cyfrin,Cyfrin,"We bring world-class smart contract audits, tools, and education to hundreds of thousands of users, partners, and blockchain protocols.",,United States of America,2907,0,211,https://github.com/Cyfrin,person,developer
GitHub,NickCraver,Nick Craver,Dad and Partner Software Engineer @Microsoft working on Azure. Formerly @StackExchange. I build very fast things to improve life for millions of developers.,Microsoft (@Microsoft),"Winston-Salem, NC",2704,1,105,https://github.com/NickCraver,person,developer
GitHub,hdm,HD Moore,"Founder of runZero, previously at Atredis Partners, Rapid7, Metasploit, and BreakingPoint.",@runZeroInc ,"Austin, TX",1968,12,49,https://github.com/hdm,person,developer
GitHub,raganwald,Reg Braithwaite,"formerly @pagerduty, @github, @unspace, devtopia, kl group/sitraka, codestorm, publishing revenue partners. javascript allongé, what i learned from failure, &c.",,"Ajax, Ontario, Canada",1856,5,47,https://github.com/raganwald,person,developer
GitHub,brntbeer,Brent Beer,Dir Global Partner Technical Excellence @GitHub. My goal is to help partners and Microsoft  understand GitHub better and deliver better value to GitHub Users.,GitHub,Amsterdam,1719,54,201,https://github.com/brntbeer,person,developer
GitHub,datitran,Dat Tran,"Partner/CTO @ DATANOMIQ | VP of AI/ML at Beams Safety AI 🤖 | Advisor. Ex-CTO/Co-Founder @Priceloop. Ex-Head of AI @AxelSpringer, Ex-Pivotal.",DATANOMIQ,Berlin,1369,74,67,https://github.com/datitran,person,developer
GitHub,kmagiera,Krzysztof Magiera,SWE & Business Partner at @software-mansion ,@software-mansion ,"Kraków, Poland",1293,17,59,https://github.com/kmagiera,person,developer
GitHub,Haseeb-Qureshi,Haseeb Qureshi,"Managing partner at Dragonfly.
Previously @airbnb, @earndotcom, Metastable.",HaseebQ,"San Francisco, CA",1247,6,67,https://github.com/Haseeb-Qureshi,person,developer
GitHub,milessabin,Miles Sabin,"I do stuff with Scala. Partner at underscoreio, Typelevel cofounder, Scala SIP committee member. Type astronaut, shapeless/scalac/dotty hacker.",Underscore/Typelevel/shapeless/grackle,"Brighton, UK",983,32,88,https://github.com/milessabin,person,developer
GitHub,kiaking,Kia King Ishii,The optimist web designer/developer. @vuejs core team member. VitePress and Vue’s design system. Partner at @globalbrain.,@globalbrain ,"Kanagawa, Japan",885,99,26,https://github.com/kiaking,person,developer
GitHub,cassidyjames,Cassidy James Blaede,"Community manager @roostorg; GNOME Foundation director; @flathub volunteer.

Previously: partners & community @endlessm; co-founder @elementary; UX @system76.",@roostorg ,"Denver, CO USA",861,562,149,https://github.com/cassidyjames,person,developer
GitHub,meigga-hsu,Maggie,"Partner, Head of GTM at a16z crypto | Co-Founder, Gold House Collective | Advisor, Global Wellness Summit | Milken YLC",ai16z Crypto,New York,827,87,62,https://github.com/meigga-hsu,person,developer
GitHub,rubsxyz,Ruben Teixeira,"Full Stack Software Engineer with a strong focus on web development, currently serving as Co-Founder & COO at Brito Partners Inc.",Brito Partners ,"Barreiro, Portugal",713,662,6,https://github.com/rubsxyz,person,developer
GitHub,DarqueWarrior,Donovan Brown,"Partner Program Manager, Azure CTO Incubations at Microsoft",@Microsoft ,,685,1,85,https://github.com/DarqueWarrior,person,developer
GitHub,jtrecenti,Julio Trecenti,"PhD in statistics. Part time professor at @insper.
Data scientist at @abjur
Partner at @curso-r
Partner at @terranova ",@abjur @terranova @curso-r @insper,"São Paulo, Brazil",662,97,141,https://github.com/jtrecenti,person,developer
GitHub,raggedheart,robbiee,"PFP MADE BY THE BESTETSTTS PARTNER EVER !!? I LOVE YOU @yaoifulness 
___________________________________________
spam acc , main is @batsoda !!!",,,658,1820,0,https://github.com/raggedheart,person,developer
GitHub,oieduardorabelo,Eduardo Rabelo,Partner @duskydots. Building fun things with great people.,DuskyDots,"Auckland, New Zealand",652,1324,163,https://github.com/oieduardorabelo,person,developer
GitHub,joshuadiaz1997,Joshua Diaz," AI developer. 
I am looking for business partner.
Especially, software developer Needed",,California,638,1211,61,https://github.com/joshuadiaz1997,person,developer
GitHub,jasonrudolph,Jason Rudolph,"Funemployed 🤿🧘‍♂️🏝️
Previously: Creator of @buildpulse, Staff Engineer at @GitHub, Partner at @Relevance.",,"Durham, NC",634,0,69,https://github.com/jasonrudolph,person,developer
GitHub,pakastin,Juha Lindstedt,"Web architect and partner at iDiD digital signage. Founder and CEO of @FlykLtd. Creator of RE:DOM, Avain.app and Deck.of.Cards.",@connectingtalents ,Finland,622,296,117,https://github.com/pakastin,person,developer
GitHub,darrelmiller,Darrel,"Partner API Architect,
IETF HTTPAPI WG Chair,
OpenAPI Specification Editor,

@darrel_miller@mastodon.social",Microsoft,"Montreal, Canada",574,35,172,https://github.com/darrelmiller,person,developer
GitHub,amgauna,www.anagauna.eti.br," 🇧🇷 CRA-RJ: 03-03161, 👩🏻‍💻 IT Consultant, Software Analyst. I am a Microsoft Partner Cloud, I work in Web Technology. I am analyzing LLM, AI Agentic apps.",@AmgaunaTecnologiaProjetos,"Rio de Janeiro, RJ, Brazil",521,1099,96,https://github.com/amgauna,person,developer
GitHub,danrobinson,Daniel Robinson,General Partner at Paradigm,,"San Francisco, CA",517,4,51,https://github.com/danrobinson,person,developer
